Hoja1_Sexo,Hoja1_Zona,Hoja1_Departamento,Hoja1_Etario,Hoja1_Grupo,Hoja1_No_carente,Hoja1_Valor,Hoja1_Total,Hoja1_Sector,Hoja1_Proporción,Hoja1_Variable,Hoja1_ID,Hoja1_Nombre_dpto
Hombre,Rural,19,Menor,Colombiana,81917.73,43344.76,125262.5,Multisector,0.346031414030536,Sin paredes duraderas,6554,Cauca
Hombre,Rural,19,Menor,Colombiana,92165.19,33097.29,125262.5,Multisector,0.264223450753418,Sin pisos duraderos,6020,Cauca
Hombre,Rural,19,Menor,Colombiana,122212.54,3049.9477,125262.5,Multisector,0.0243484498553039,Sin electricidad,5486,Cauca
Hombre,Rural,19,Menor,Venezolana,0,1125.133,1125.133,Multisector,1,Sin trabajo,3885,Cauca
Hombre,Rural,19,Menor,Venezolana,1034.3293,90.803612,1125.133,Multisector,0.0807047806792619,Sin paredes duraderas,6555,Cauca
Hombre,Rural,19,Menor,Venezolana,1125.133,0,1125.133,Multisector,0,Hacinamiento,713,Cauca
Hombre,Rural,19,Menor,Venezolana,1125.133,0,1125.133,Multisector,0,Sin electricidad,5487,Cauca
Hombre,Rural,19,Menor,Venezolana,1125.133,0,1125.133,Multisector,0,Sin pisos duraderos,6021,Cauca
Hombre,Rural,20,Mayor,Colombiana,1648.87,100227.6,101876.4,Multisector,0.983815682532952,Sin trabajo,3892,Cesar
Hombre,Rural,20,Mayor,Colombiana,57664.94,44211.5,101876.4,Multisector,0.433971950324118,Hacinamiento,720,Cesar
Hombre,Rural,20,Mayor,Colombiana,78143.06,23733.37,101876.4,Multisector,0.232962393645633,Sin electricidad,5494,Cesar
Hombre,Rural,20,Mayor,Colombiana,81817.273,20059.165,101876.4,Multisector,0.196897073316293,Sin pisos duraderos,6028,Cesar
Hombre,Rural,20,Mayor,Colombiana,85308.76,16567.68,101876.4,Multisector,0.162625298891598,Sin paredes duraderas,6562,Cesar
Hombre,Rural,20,Mayor,Retornada,0,3169.553,3169.553,Multisector,1,Sin trabajo,3893,Cesar
Hombre,Rural,20,Mayor,Retornada,1331.025,1838.528,3169.553,Multisector,0.580059080886169,Hacinamiento,721,Cesar
Hombre,Rural,20,Mayor,Retornada,2392.643,776.9104,3169.553,Multisector,0.24511670888608,Sin paredes duraderas,6563,Cesar
Hombre,Rural,20,Mayor,Retornada,2718.038,451.51518,3169.553,Multisector,0.142453898073325,Sin electricidad,5495,Cesar
Hombre,Rural,20,Mayor,Retornada,2871.178,298.37498,3169.553,Multisector,0.0941378737001716,Sin pisos duraderos,6029,Cesar
Hombre,Rural,20,Mayor,Venezolana,0,1929.882,1929.882,Multisector,1,Sin trabajo,3894,Cesar
Hombre,Rural,20,Mayor,Venezolana,823.07867,1106.803,1929.882,Multisector,0.573508121221919,Hacinamiento,722,Cesar
Hombre,Rural,20,Mayor,Venezolana,1185.759,744.12309,1929.882,Multisector,0.38557957947688,Sin electricidad,5496,Cesar
Hombre,Rural,20,Mayor,Venezolana,1669.141,260.7411,1929.882,Multisector,0.135107275988895,Sin paredes duraderas,6564,Cesar
Hombre,Rural,20,Mayor,Venezolana,1802.433,127.44942,1929.882,Multisector,0.0660400065910765,Sin pisos duraderos,6030,Cesar
Hombre,Rural,20,Menor,Colombiana,1086.56,79289.37,80375.93,Multisector,0.986481525003816,Sin trabajo,3889,Cesar
