DesMinDB_DataProyectoMineria_Sexo,DesMinDB_DataProyectoMineria_Zona,DesMinDB_DataProyectoMineria_Departamento,DesMinDB_DataProyectoMineria_Etario,DesMinDB_DataProyectoMineria_Grupo,DesMinDB_DataProyectoMineria_No_carente,DesMinDB_DataProyectoMineria_Valor,DesMinDB_DataProyectoMineria_Total,DesMinDB_DataProyectoMineria_Proporción,DesMinDB_DataProyectoMineria_Variable,DesMinDB_DataProyectoMineria_ID,DesMinDB_DataProyectoMineria_Nombre_dpto
Hombre,Rural,13,Mayor,Colombiana,27272636,74373173,1016458,731689582845528,Sin suministro continuo de agua,2294,Bolívar
Hombre,Rural,13,Mayor,Retornada,171015,3408936,5119087,665926560732412,Sin espacio exclusivo para la cocina,3333,Bolívar
Hombre,Rural,13,Mayor,Retornada,2047381,3071706,5119087,60004957915347,Sin combustible adecuado para cocinar,161,Bolívar
Hombre,Rural,13,Mayor,Retornada,2780418,2338669,5119087,456852755188572,Hacinamiento,695,Bolívar
Hombre,Rural,13,Mayor,Retornada,3043867,207522,5119087,405388695288828,Sin refrigerador,4401,Bolívar
Hombre,Rural,13,Mayor,Retornada,3923582,1195505,5119087,233538715009141,Sin electricidad,5469,Bolívar
Hombre,Rural,13,Mayor,Retornada,4099154,1019933,5119087,199241192814266,Sin sanitario,4935,Bolívar
Hombre,Rural,13,Mayor,Retornada,4914976,0,4914976,0,Sin empleo,7053,Bolívar
Hombre,Rural,13,Mayor,Retornada,4936867,18221933,5119087,355960603912377,Sin paredes duraderas,6537,Bolívar
Hombre,Rural,13,Mayor,Retornada,14284752,1938067,20809146,931353453909161,Sin suministro continuo de agua,2293,Bolívar
Hombre,Rural,13,Mayor,Retornada,14284752,4976239,5119087,972095023975955,Sin alcantarillado,2799,Bolívar
Hombre,Rural,13,Mayor,Retornada,14284752,4976239,5119087,972095023975955,Sin fuente de ingresos,3867,Bolívar
Hombre,Rural,13,Mayor,Retornada,20809146,3038172,5119087,593498801641777,Sin acueducto,1763,Bolívar
Hombre,Rural,13,Mayor,Retornada,28069188,4838395,5119087,945167566013236,Sin recogida de basuras,1229,Bolívar
Hombre,Rural,13,Mayor,Retornada,38118026,1307284,5119087,255374444700784,Sin pisos duraderos,6003,Bolívar
Hombre,Rural,13,Mayor,Venezolana,856617,8826563,1739273,507485771353893,Sin refrigerador,4400,Bolívar
Hombre,Rural,13,Mayor,Venezolana,869612,1652312,1739273,950001523625101,Sin alcantarillado,2798,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1041573,6977003,1739273,40114478865595,Sin pisos duraderos,6002,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1193624,5456494,1739273,313722687582685,Sin sanitario,4934,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1377963,3613099,1739273,207736163328011,Sin electricidad,5468,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1451454,2878189,1739273,165482302088286,Sin paredes duraderas,6536,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1574099,2274789,1596847,142455037959178,Sin empleo,7052,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1659726,5517903,7177629,768764030573327,Sin suministro continuo de agua,2292,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2115065,1527767,1739273,878394018650321,Sin recogida de basuras,1228,Bolívar
Hombre,Rural,13,Mayor,Venezolana,4829291,169098,1739273,972233801134152,Sin fuente de ingresos,3866,Bolívar
Hombre,Rural,13,Mayor,Venezolana,7177629,102151,1739273,587320104434439,Sin acueducto,1762,Bolívar
Hombre,Rural,13,Mayor,Venezolana,7237714,1015502,1739273,583865787602061,Sin combustible adecuado para cocinar,160,Bolívar
Hombre,Rural,13,Mayor,Venezolana,8379072,9013661,1739273,518243024528064,Sin espacio exclusivo para la cocina,3332,Bolívar
Hombre,Rural,13,Mayor,Venezolana,10429181,6963552,1739273,400371419552882,Hacinamiento,694,Bolívar
Hombre,Rural,13,Menor,Colombiana,200211,2345114,4347224,53945092316384,Sin refrigerador,4399,Bolívar
Hombre,Rural,13,Menor,Colombiana,1110256,3236969,4347224,744605983036531,Sin recogida de basuras,1227,Bolívar
Hombre,Rural,13,Menor,Colombiana,1515004,283222,4347224,65150081983353,Hacinamiento,693,Bolívar
Hombre,Rural,13,Menor,Colombiana,2425556,1921668,4347224,442044854371433,Sin combustible adecuado para cocinar,159,Bolívar
Hombre,Rural,13,Menor,Colombiana,2795893,1551331,4347224,356855547356198,Sin espacio exclusivo para la cocina,3331,Bolívar
Hombre,Rural,13,Menor,Colombiana,2979207,1368017,4347224,314687487923328,Sin sanitario,4933,Bolívar
